slug,tag_name,month,year,day,attendance,fullname,administrator_id,country
2014-12-16-lbl,SWC,12,2014,16,27,Lawrence Berkeley National Laboratory,173,US
2014-12-18-yale,SWC,12,2014,18,18,Yale University,173,US
2015-01-03-aas,SWC,01,2015,03,27,American Astronomical Society,173,US
2015-01-05-wise-cuboulder,"WiSE,SWC",01,2015,05,27,University of Colorado,173,US
2015-01-05-wise-umich,"WiSE,SWC",01,2015,05,57,University of Michigan,173,US
2015-01-06-ttt-ucdavis,"TTT,online",01,2015,06,44,Software Carpentry,173,W3
2015-01-07-instaar,SWC,01,2015,07,8,Institute of Arctic and Alpine Research,173,US
2015-01-08-NIH,SWC,01,2015,08,30,National Institutes of Health,173,US
2015-01-08-nber,SWC,01,2015,08,37,National Bureau of Economic Research,173,US
2015-01-08-unl,SWC,01,2015,08,40,University of Nebraska,173,US
2015-01-08-uoit,SWC,01,2015,08,24,University of Ontario Institute of Technology,297,CA
2015-01-10-mcgill,SWC,01,2015,10,42,McGill University,297,CA
2015-01-10-st_josephs,SWC,01,2015,10,6,"St. Joseph's Hospital, Phoenix AZ",173,US
2015-01-11-earlham,SWC,01,2015,11,58,Earlham College,173,US
2015-01-13-oxford,SWC,01,2015,13,28,University of Oxford,278,GB
2015-01-13-wisc,SWC,01,2015,13,37,University of Wisconsin - Madison,173,US
2015-01-14-leeds,SWC,01,2015,14,22,University of Leeds,278,GB
2015-01-14-oxford,SWC,01,2015,14,67,University of Oxford,278,GB
2015-01-15-cornell,DC,01,2015,15,41,Cornell University,302,US
2015-01-15-umd,DC,01,2015,15,30,University of Maryland,302,US
2015-01-15-uw,SWC,01,2015,15,59,University of Washington,173,US
2015-01-26-tulane,SWC,01,2015,26,47,Tulane University,173,US
2015-01-27-msu_icer,SWC,01,2015,27,12,Michigan State University,173,US
2015-01-27-ubc,SWC,01,2015,27,31,University of British Columbia,297,CA
2015-01-29-ncsu,SWC,01,2015,29,24,North Carolina State University,173,US
2015-01-29-sickkids,SWC,01,2015,29,37,"Hospital for Sick Children, Toronto",297,CA
2015-01-29-uiuc,SWC,01,2015,29,29,University of Illinois at Urbana-Champaign,173,US
2015-01-31-ualbany,SWC,01,2015,31,23,SUNY Albany,173,US
2015-02-01-ttt-online,"TTT,online",02,2015,01,127,Software Carpentry,173,W3
2015-02-03-CDT-reg-medicine,SWC,02,2015,03,11,EPSRC & MRC Centre for Doctoral Training (CDT) in Regenerative Medicine,278,GB
2015-02-05-toronto,SWC,02,2015,05,28,University of Toronto,297,CA
2015-02-09-ucdavis,DC,02,2015,09,25,University of California Davis,302,US
2015-02-11-ttt-melbourne,"TTT,online",02,2015,11,46,Software Carpentry,173,W3
2015-02-14-ucla,SWC,02,2015,14,47,University of California Los Angeles,173,US
2015-02-16-resbaz-matlab,SWC,02,2015,16,17,University of Melbourne,173,AU
2015-02-16-resbaz-python,SWC,02,2015,16,47,University of Melbourne,173,AU
2015-02-16-resbaz-r,SWC,02,2015,16,43,University of Melbourne,173,AU
2015-02-21-Krakow,SWC,02,2015,21,36,Jagiellonian University,306,PL
2015-02-21-iplant,SWC,02,2015,21,55,iPlant,173,US
2015-02-21-uci,SWC,02,2015,21,50,University of California Irvine,173,US
2015-02-23-canterbury,SWC,02,2015,23,37,University of Canterbury,173,NZ
2015-02-25-seoul,SWC,02,2015,25,12,Korea Radio Promotion Association,343,KR
2015-02-25-ucl,SWC,02,2015,25,14,University College London,200,GB
2015-02-26-Oslo,SWC,02,2015,26,27,University of Oslo,343,NO
2015-02-26-auckland,SWC,02,2015,26,19,University of Auckland,173,NZ
2015-03-02-clemson,SWC,03,2015,02,20,Clemson University,173,US
2015-03-03-iupui,SWC,03,2015,03,10,Indiana University-Purdue University Indianapolis,343,US
2015-03-05-ubc,SWC,03,2015,05,40,University of British Columbia,343,CA
2015-03-06-nyas,SWC,03,2015,06,44,New York Academy of Sciences,173,US
2015-03-09-ISI-CODATA,DC,03,2015,10,44,Indian Statistical Institute,302,IN
2015-03-10-ttt-lbl,"TTT,online",03,2015,10,12,Software Carpentry,173,W3
2015-03-16-utahstate,SWC,03,2015,16,47,Utah State University,173,US
2015-03-18-csc-espoo,DC,03,2015,18,29,CSC - IT Center for Science,302,FI
2015-03-19-arkansas,SWC,03,2015,19,21,University of Arkansas,173,US
2015-03-20-unl,SWC,03,2015,20,42,University of Nebraska,234,US
2015-03-21-uwaterloo,SWC,03,2015,21,34,University of Waterloo,343,CA
2015-03-23-hsph,SWC,03,2015,23,20,Harvard University,173,US
2015-03-24-ou,SWC,03,2015,24,24,University of Oklahoma,173,US
2015-03-26-mahidol,SWC,03,2015,26,6,Mahidol University,343,TH
2015-03-30-AAAS,DC,03,2015,30,30,AAAS,302,US
2015-03-30-umiami,SWC,03,2015,30,38,University of Miami,173,US
2015-04-01-wcmc,SWC,04,2015,01,36,Weill Cornell Medical College,173,US
2015-04-02-umiami,SWC,04,2015,02,33,University of Miami,173,US
2015-04-08-SWC-UniMelb-Biosciences,SWC,04,2015,08,42,University of Melbourne,343,AU
2015-04-08-ttt-nih,"TTT,online",04,2015,08,17,Software Carpentry,173,W3
2015-04-09-UW,SWC,04,2015,09,47,University of Washington,173,US
2015-04-13-leiden,SWC,04,2015,13,38,Leiden,306,NL
2015-04-13-samsi,SWC,04,2015,13,29,Sandia National Laboratory,173,US
2015-04-15-ncar,SWC,04,2015,15,22,University Corporation for Atmospheric Research,173,US
